MONTH,CPI
1/1/1990,127.4
2/1/1990,128
3/1/1990,128.7
4/1/1990,128.9
5/1/1990,129.2
6/1/1990,129.9
7/1/1990,130.4
8/1/1990,131.6
9/1/1990,132.7
10/1/1990,133.5
11/1/1990,133.8
12/1/1990,133.8
1/1/1991,134.6
2/1/1991,134.8
3/1/1991,135
4/1/1991,135.2
5/1/1991,135.6
6/1/1991,136
7/1/1991,136.2
8/1/1991,136.6
9/1/1991,137.2
10/1/1991,137.4
11/1/1991,137.8
12/1/1991,137.9
1/1/1992,138.1
2/1/1992,138.6
3/1/1992,139.3
4/1/1992,139.5
5/1/1992,139.7
6/1/1992,140.2
7/1/1992,140.5
8/1/1992,140.9
9/1/1992,141.3
10/1/1992,141.8
11/1/1992,142
12/1/1992,141.9
1/1/1993,142.6
2/1/1993,143.1
3/1/1993,143.6
4/1/1993,144
5/1/1993,144.2
6/1/1993,144.4
7/1/1993,144.4
8/1/1993,144.8
9/1/1993,145.1
10/1/1993,145.7
11/1/1993,145.8
12/1/1993,145.8
1/1/1994,146.2
2/1/1994,146.7
3/1/1994,147.2
4/1/1994,147.4
5/1/1994,147.5
6/1/1994,148
7/1/1994,148.4
8/1/1994,149
9/1/1994,149.4
10/1/1994,149.5
11/1/1994,149.7
12/1/1994,149.7
1/1/1995,150.3
2/1/1995,150.9
3/1/1995,151.4
4/1/1995,151.9
5/1/1995,152.2
6/1/1995,152.5
7/1/1995,152.5
8/1/1995,152.9
9/1/1995,153.2
10/1/1995,153.7
11/1/1995,153.6
12/1/1995,153.5
1/1/1996,154.4
2/1/1996,154.9
3/1/1996,155.7
4/1/1996,156.3
5/1/1996,156.6
6/1/1996,156.7
7/1/1996,157
8/1/1996,157.3
9/1/1996,157.8
10/1/1996,158.3
11/1/1996,158.6
12/1/1996,158.6
1/1/1997,159.1
2/1/1997,159.6
3/1/1997,160
4/1/1997,160.2
5/1/1997,160.1
6/1/1997,160.3
7/1/1997,160.5
8/1/1997,160.8
9/1/1997,161.2
10/1/1997,161.6
11/1/1997,161.5
12/1/1997,161.3
1/1/1998,161.6
2/1/1998,161.9
3/1/1998,162.2
4/1/1998,162.5
5/1/1998,162.8
6/1/1998,163
7/1/1998,163.2
8/1/1998,163.4
9/1/1998,163.6
10/1/1998,164
11/1/1998,164
12/1/1998,163.9
1/1/1999,164.3
2/1/1999,164.5
3/1/1999,165
4/1/1999,166.2
5/1/1999,166.2
6/1/1999,166.2
7/1/1999,166.7
8/1/1999,167.1
9/1/1999,167.9
10/1/1999,168.2
11/1/1999,168.3
12/1/1999,168.3
1/1/2000,168.8
2/1/2000,169.8
3/1/2000,171.2
4/1/2000,171.3
5/1/2000,171.5
6/1/2000,172.4
7/1/2000,172.8
8/1/2000,172.8
9/1/2000,173.7
10/1/2000,174
11/1/2000,174.1
12/1/2000,174
1/1/2001,175.1
2/1/2001,175.8
3/1/2001,176.2
4/1/2001,176.9
5/1/2001,177.7
6/1/2001,178
7/1/2001,177.5
8/1/2001,177.5
9/1/2001,178.3
10/1/2001,177.7
11/1/2001,177.4
12/1/2001,176.7
1/1/2002,177.1
2/1/2002,177.8
3/1/2002,178.8
4/1/2002,179.8
5/1/2002,179.8
