MONTH,GPR
2/1/1990,77.41
3/1/1990,67.59
4/1/1990,81.64
5/1/1990,86.41
6/1/1990,79.68
7/1/1990,85.79
8/1/1990,250.45
9/1/1990,188.66
10/1/1990,143.85
11/1/1990,158.74
12/1/1990,153.16
1/1/1991,379.25
2/1/1991,339.36
3/1/1991,148.62
4/1/1991,97.76
5/1/1991,88.57
6/1/1991,87.73
7/1/1991,115.18
8/1/1991,113.5
9/1/1991,117.94
10/1/1991,100.83
11/1/1991,100.74
12/1/1991,103.97
1/1/1992,102.96
2/1/1992,87.2
3/1/1992,85.3
4/1/1992,85.86
5/1/1992,78.97
6/1/1992,93.85
7/1/1992,75.2
8/1/1992,81.65
9/1/1992,74.61
10/1/1992,68.18
11/1/1992,91.01
12/1/1992,83.42
1/1/1993,128.92
2/1/1993,90.47
3/1/1993,94.24
4/1/1993,112.72
5/1/1993,110.73
6/1/1993,104.2
7/1/1993,123.31
8/1/1993,97.24
9/1/1993,89.16
10/1/1993,106.17
11/1/1993,83.48
12/1/1993,79.55
1/1/1994,83.49
2/1/1994,117.24
3/1/1994,93.47
4/1/1994,95.36
5/1/1994,104.47
6/1/1994,120.35
7/1/1994,99.64
8/1/1994,98.23
9/1/1994,98.9
10/1/1994,94.85
11/1/1994,86.53
12/1/1994,96.05
1/1/1995,80.15
2/1/1995,76.88
3/1/1995,82.24
4/1/1995,99.19
5/1/1995,87.84
6/1/1995,104.61
7/1/1995,107.65
8/1/1995,106.93
9/1/1995,71.21
10/1/1995,67.74
11/1/1995,76.33
12/1/1995,65.67
1/1/1996,75.63
2/1/1996,80.42
3/1/1996,82.15
4/1/1996,84.83
5/1/1996,65.53
6/1/1996,69.09
7/1/1996,80.64
8/1/1996,81.69
9/1/1996,88.2
10/1/1996,55.59
11/1/1996,57.34
12/1/1996,74.98
1/1/1997,54.06
2/1/1997,50.56
3/1/1997,58.48
4/1/1997,62.84
5/1/1997,53.58
6/1/1997,39.05
7/1/1997,47.7
8/1/1997,48.58
9/1/1997,42.69
10/1/1997,49.75
11/1/1997,59.69
12/1/1997,44
1/1/1998,53.1
2/1/1998,77.6
3/1/1998,57.25
4/1/1998,51
5/1/1998,94.47
6/1/1998,76.31
7/1/1998,54.05
8/1/1998,97.02
9/1/1998,62.51
10/1/1998,54.4
11/1/1998,67.97
12/1/1998,75.96
1/1/1999,63.99
2/1/1999,58.32
3/1/1999,83.4
4/1/1999,106.2
5/1/1999,85.44
6/1/1999,79.41
7/1/1999,62.14
8/1/1999,62.86
9/1/1999,69.58
10/1/1999,72.35
11/1/1999,57.96
12/1/1999,86.08
1/1/2000,64.46
2/1/2000,63.54
3/1/2000,50.1
4/1/2000,48.68
5/1/2000,79.48
6/1/2000,64.72
7/1/2000,51.9
8/1/2000,46.49
9/1/2000,52.69
10/1/2000,76.46
11/1/2000,45.06
12/1/2000,45.4
1/1/2001,46.9
2/1/2001,55.09
3/1/2001,61.71
4/1/2001,50.57
5/1/2001,60.38
6/1/2001,72.06
7/1/2001,61.07
8/1/2001,64.11
9/1/2001,498.65
10/1/2001,512.53
11/1/2001,306.79
12/1/2001,236.1
1/1/2002,172.48
2/1/2002,146.19
3/1/2002,151.98
4/1/2002,157.5
5/1/2002,163.32
6/1/2002,149.33
7/1/2002,122.78
8/1/2002,127.06
9/1/2002,174.9
10/1/2002,172.03
11/1/2002,159.13
12/1/2002,175.81
1/1/2003,206.43
2/1/2003,239.61
3/1/2003,358.71
4/1/2003,255.78
5/1/2003,162.12
6/1/2003,145.77
7/1/2003,134.9
8/1/2003,138.23
9/1/2003,118.2
10/1/2003,108.32
11/1/2003,118.09
12/1/2003,129.47
1/1/2004,113.47
